id,description
scenario_5_behavior_2,"The ego vehicle is moving straight through the intersection; the adversarial agent, initially on the left front, runs the red light and makes an abrupt right turn, forcing the ego vehicle to perform a collision avoidance maneuver."
scenario_5_behavior_3,"The ego vehicle is moving straight through the intersection; the adversarial agent, initially on the left front, runs the red light and makes an abrupt left turn, forcing the ego vehicle to perform a collision avoidance maneuver."
scenario_5_behavior_4,"The ego moves straight at an intersection when a crossing vehicle runs the red light from right and brakes abruptly, causing the ego to rapidly adapt its trajectory and perform a collision avoidance maneuver."
scenario_5_behavior_5,The ego vehicle is going straight through the intersection; the adversarial vehicle approaches from the left front and cuts off the ego vehicle.
scenario_6_behavior_1,"The ego starts an unprotected left turn at an intersection while yielding to an oncoming car when the oncoming car's throttle malfunctions, leading to an unexpected acceleration and forcing the ego to quickly modify its turning path to avoid a collision."
scenario_6_behavior_2,"The ego attempts an unprotected left turn at an intersection while yielding to an oncoming car when the oncoming car's suddenly brakes, necessitating the ego to rapidly reassess the situation and adjust its turn."
scenario_6_behavior_3,The ego vehicle is making an unprotected left turn; the adversarial vehicle approaches the intersection at a normal speed but then suddenly attempts to make a last-second right turn.
scenario_6_behavior_4,The ego attempts an unprotected left turn at an intersection while yielding to an oncoming car when the oncoming car veer erratically.
scenario_6_behavior_5,"The ego commences an unprotected left turn at an intersection while yielding to an oncoming car when the adversarial car, comes from the right, blocks multiple lanes by driving extremely slowly, forcing the ego vehicle to change lanes."
scenario_7_behavior_1,"The ego is performing a right turn at an intersection when the crossing car suddenly speeds up, entering the intersection and causing the ego to brake abruptly to avoid a collision."
scenario_7_behavior_2,The ego vehicle is turning right; the adversarial car (positioned ahead on the right) blocks the lane by braking suddenly.
scenario_7_behavior_3,The ego vehicle is turning right; the adversarial car (positioned ahead on the right) reverses abruptly.
scenario_7_behavior_4,The ego vehicle is turning right; the adversarial car (positioned behind on the right) suddenly accelerates and then decelerates.
scenario_7_behavior_5,"The ego vehicle is turning right; the adversarial vehicle enters the intersection from the left side, swerving to the right suddenly."
scenario_8_behavior_1,The ego vehicle is approaching the intersection; the adversarial car (on the left) suddenly accelerates and enters the intersection first and suddenly stop.
scenario_8_behavior_2,The ego vehicle is approaching the intersection; the adversarial car (on the right) suddenly accelerates and enters the intersection first and suddenly stop.
scenario_8_behavior_3,"The ego vehicle is entering the intersection; the adversarial vehicle comes from the opposite direction and turns left and stop, causing a near collision with the ego vehicle."
scenario_8_behavior_4,"The ego vehicle is entering the intersection; the adversarial vehicle comes from the right and turns left and stop, causing a near collision with the ego vehicle."
scenario_8_behavior_5,"The ego vehicle is maintaining a constant speed; the adversarial car, comes from the right, blocks multiple lanes by driving extremely slowly, forcing the ego vehicle to change lanes."
