CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	203	46400	0.43808421	-0.009278416	1498.6687	-39.85	8776.793	1044.1135	1044.1024	-1055.6754	685.40955	80.0	-171.0	29675.252513885498
20	204	48000	0.4701422	-0.03239932	1405.9193	-60.55	8306.682	1061.6031	1061.6018	-1072.3495	1766.2394	80.0	0.0	30735.726432323456
20	205	49600	0.37200278	-0.0835239	1200.378	-100.5	8480.2705	1056.2751	1056.2437	-1066.1489	1597.5437	80.0	-181.0	31774.808740139008
20	206	51200	0.5964897	-0.025692787	1337.4812	-109.05	7949.6245	1064.6729	1064.6552	-1074.8967	436.60983	80.0	-245.0	32819.941932201385
20	207	52800	0.57234704	-0.026153086	1280.873	-141.95	8129.811	1071.2389	1071.208	-1079.897	90.04878	80.0	-208.0	33870.046046733856
20	208	54400	0.57095337	0.03303206	1486.5764	-83.75	7783.669	1081.4772	1081.4641	-1090.8646	1140.2821	80.0	-145.0	34936.642488479614
20	209	56000	0.5703199	0.012770615	1445.8269	-89.1	7407.7456	1089.3292	1089.3427	-1097.4149	2114.8765	80.0	0.0	36000.964671850204
20	210	57600	0.57069516	0.028977547	1403.7639	-107.6	7688.225	1095.0214	1095.0243	-1104.3254	2139.9756	80.0	0.0	37071.66136741638
20	211	59200	0.63440824	0.02294968	1194.5859	-129.85	7868.25	1090.0515	1090.0458	-1097.722	1331.9847	80.0	-156.0	38106.95684218407
20	212	60800	0.5924331	0.05077214	1407.9177	-98.2	8092.8613	1094.5123	1094.519	-1101.8853	1319.2576	80.0	-205.0	39131.15273427963
20	213	62400	0.595083	0.037584588	1232.3469	-119.35	8664.272	1085.5762	1085.5785	-1093.696	483.73813	80.0	-188.0	40198.992616176605
20	214	64000	0.57815915	0.106894895	1238.8127	-116.65	8460.242	1084.9205	1084.9047	-1091.4667	1828.7013	80.0	0.0	41224.445759773254
20	215	65600	0.5681356	-0.004765073	1327.9574	-89.45	9014.577	1072.168	1072.1562	-1080.1117	1046.7542	80.0	-100.0	42280.38265681267
20	216	67200	0.5898453	-0.0039689015	1206.9237	-124.8	9174.762	1064.2318	1064.2283	-1072.5419	938.96356	80.0	-155.0	43343.96770834923
20	217	68800	0.5257001	-0.06276312	1278.6252	-97.45	9858.515	1052.0038	1051.9977	-1059.6346	1854.3257	80.0	0.0	44370.56032919884
20	218	70400	0.56289154	0.02003292	1290.0369	-110.25	9915.204	1041.0155	1041.0106	-1049.0669	517.379	80.0	-268.0	45430.3539814949
20	219	72000	0.5605354	0.09072727	1544.0746	-78.15	9894.751	1041.5741	1041.6104	-1053.5414	1900.8751	80.0	0.0	46507.256442546844
20	220	73600	0.5260837	0.069963664	1487.7249	-102.85	8305.347	1060.0428	1060.04	-1079.9348	361.7155	80.0	-207.0	47519.90467619896
20	221	75200	0.09526171	0.23404182	1159.7866	-82.45	7702.6377	1063.7021	1063.6913	-1073.3093	954.6402	80.0	-151.0	48556.62708950043
20	222	76800	0.3048267	0.10292881	1301.1108	-99.5	7929.05	1055.1039	1055.0975	-1064.977	1501.1835	80.0	-184.0	49588.62438750267
20	223	78400	0.4179008	0.08041832	1200.6829	-126.15	7856.8906	1055.9717	1055.9551	-1066.2251	1083.0243	80.0	-33.0	50669.6251244545
20	224	80000	0.5353911	0.080326706	1425.9198	-72.75	7891.795	1069.6776	1069.6794	-1080.3159	387.40274	80.0	-181.0	51711.411598443985
20	225	81600	0.54265237	0.049838167	960.3078	-138.5	7532.866	1067.7043	1067.6946	-1078.6562	1697.4962	80.0	-55.0	52762.14963245392
20	226	83200	0.50131875	-0.05029007	1347.509	-105.2	7223.156	1074.394	1074.403	-1085.4872	1626.228	80.0	-240.0	53839.52212834358
20	227	84800	0.37215832	0.047942486	1256.7292	-110.25	7630.34	1071.185	1071.1819	-1081.3966	1328.3181	80.0	-204.0	54891.209950208664
20	228	86400	0.23623757	0.09231379	1309.0867	-102.7	7928.0327	1067.3203	1067.3405	-1079.1316	2353.2344	80.0	0.0	55924.34544181824
20	229	88000	0.37166008	0.0804208	1322.4316	-138.1	8042.2295	1069.8894	1069.893	-1081.4089	1224.8335	80.0	-70.0	56976.65575194359
20	230	89600	0.42544496	-0.01504273	1292.346	-120.85	8054.4214	1073.0797	1073.0846	-1084.091	1527.1571	80.0	-193.0	58051.246409893036
20	231	91200	0.56781703	0.05875027	1335.5426	-113.95	8378.942	1061.1152	1061.1298	-1070.5933	1386.3895	80.0	-225.0	59092.63598012924
20	232	92800	0.51970977	0.06696395	1432.2445	-143.7	8933.896	1048.0793	1048.0746	-1057.6377	1823.3463	80.0	-183.0	60169.97139406204
20	233	94400	0.42379022	-0.027335297	1113.9718	-134.8	9634.089	1038.5608	1038.5872	-1048.1724	1404.8276	80.0	-246.0	61245.5127325058
20	234	96000	0.34664452	0.053759046	921.7391	-157.95	9521.226	1009.2231	1009.2382	-1021.2942	2168.6104	80.0	0.0	62292.50578999519
20	235	97600	0.28794423	0.03336849	1265.1006	-104.85	9914.94	992.9588	992.9688	-1004.95654	497.86243	80.0	-173.0	63344.49923682213
20	236	99200	0.44798133	0.103429794	1365.1161	-111.9	10826.152	974.9915	974.9864	-987.3717	1323.0461	80.0	-184.0	64405.72416687012
20	237	100800	0.37117633	0.07896733	1205.2804	-133.6	11432.867	958.9091	958.9572	-970.03174	1640.8008	80.0	-173.0	65445.698298215866
20	238	102400	0.27803627	0.10287753	1126.5343	-134.35	11498.485	943.9575	943.9522	-953.1806	2176.3005	80.0	0.0	66484.65555620193
20	239	104000	0.262142	0.025902936	1078.2806	-114.55	11747.47	908.1092	908.0848	-916.8547	1979.0911	80.0	-67.0	67539.41797447205
20	240	105600	0.33632922	0.11340227	1213.3593	-126.15	12488.0	908.1159	908.1259	-917.60657	545.29034	80.0	-202.0	68591.16540622711
20	241	107200	0.29086033	0.06167977	1270.203	-130.15	12584.424	885.8757	885.8736	-894.9339	283.43387	80.0	0.0	69629.43725562096
20	242	108800	0.35242233	0.09585139	914.90344	-147.6	12696.188	869.7868	869.7878	-881.81696	870.7354	80.0	-139.0	70716.4053812027
20	243	110400	0.451817	0.15825164	1272.5378	-126.1	12290.482	857.6189	857.5921	-870.6733	1348.9056	80.0	-269.0	71789.19767212868
20	244	112000	0.2058241	0.26574627	782.5619	-165.0	12849.683	827.272	827.2835	-837.02124	1700.3026	80.0	-95.0	72814.16461634636
20	245	113600	0.35869515	0.18546908	1208.1852	-140.55	13504.434	819.9465	819.9061	-830.4297	1731.3419	80.0	-85.0	73845.47080731392
20	246	115200	0.47286895	0.078947075	1393.9906	-94.1	13286.603	815.6954	815.6583	-828.3501	1518.7245	80.0	-127.0	74908.5068449974
20	247	116800	0.3798809	0.055999804	1256.4323	-136.1	13611.965	820.1077	820.06464	-832.91205	2210.782	80.0	0.0	75949.40709257126
20	248	118400	0.4682132	0.0724426	1264.8053	-136.4	12712.73	812.94104	812.9033	-824.331	464.61328	80.0	-198.0	77011.57486891747
20	249	120000	0.36049664	0.011714573	1391.0669	-120.3	12811.588	814.2374	814.2102	-824.1307	1640.705	80.0	-53.0	78059.3590734005
20	250	121600	0.39693564	0.06613585	1385.3834	-114.4	12158.071	815.1151	815.0826	-824.5865	2077.311	80.0	0.0	79100.80063986778
20	251	123200	0.27503484	0.055945095	1441.1733	-66.7	11346.473	822.7103	822.6821	-832.51984	-142.41264	80.0	-226.0	80163.82576847076
20	252	124800	0.35772267	0.13678856	1273.3156	-117.3	11410.264	825.9188	825.897	-834.47437	29.747103	80.0	-246.0	81201.16634321213
20	253	126400	0.4440036	0.078624055	1473.6737	-110.55	11058.63	835.6037	835.6009	-843.52924	2094.6052	80.0	0.0	82287.5493221283
20	254	128000	0.41905728	0.10663401	1376.8998	-107.6	10662.135	836.77	836.74884	-845.2388	1483.3761	80.0	-72.0	83331.90781235695
20	255	129600	0.49568665	0.029283686	1487.1719	-124.4	10789.821	843.1588	843.1448	-854.3664	1179.7164	80.0	-116.0	84380.30155110359
20	256	131200	0.53809077	0.12857503	1347.0107	-95.75	10688.426	854.7988	854.7531	-864.34015	-113.598015	80.0	-225.0	85431.70724463463
20	257	132800	0.49513263	0.06697505	1537.9763	-118.4	10247.405	875.712	875.6895	-885.45154	1717.2384	80.0	-50.0	86474.96026945114
20	258	134400	0.532804	0.04436243	1483.0442	-110.1	10711.246	886.8231	886.8215	-896.049	943.4518	80.0	-138.0	87526.56541132927
20	259	136000	0.4200196	0.0032131297	1366.4846	-86.9	10446.492	888.5822	888.5728	-897.10486	153.4787	80.0	-228.0	88599.93473315239
20	260	137600	0.24246933	0.03358086	1284.6443	-102.4	10376.104	894.2401	894.2551	-904.9866	194.4869	80.0	-217.0	89645.3502869606
20	261	139200	0.55084455	-0.053157948	1380.8265	-128.1	10433.356	901.2553	901.2608	-912.78033	1416.6995	80.0	-183.0	90707.87895298004
20	262	140800	0.3457199	-0.010219013	1264.4421	-146.95	10297.135	898.7416	898.7606	-909.9797	1418.7499	80.0	-227.0	91750.98403978348
20	263	142400	0.5491877	0.04882445	1525.3772	-121.15	10270.18	903.1179	903.1241	-914.84595	2308.658	80.0	0.0	92811.03339409828
20	264	144000	0.33839333	-0.08629938	1275.5382	-130.8	10751.595	901.0133	901.0105	-913.21906	1905.6437	80.0	-18.0	93854.61566829681
20	265	145600	0.39444435	-0.009478268	1430.1832	-84.85	11471.924	901.9573	901.9211	-914.6813	684.57074	80.0	-195.0	94910.29763627052
20	266	147200	0.27497146	0.049834624	1185.0853	-120.85	11367.607	887.3758	887.3755	-895.9561	912.9725	80.0	-240.0	95969.68276786804
20	267	148800	0.45642707	-0.0013576293	1248.967	-145.65	11446.745	885.524	885.5067	-894.07623	1213.5424	80.0	-228.0	97001.61723351479
20	268	150400	0.4116832	-0.0905102	1153.7351	-129.75	12245.571	878.6871	878.71	-888.87634	1661.2083	80.0	-167.0	98068.94835996628
20	269	152000	0.51620644	0.12746803	1523.6938	-72.85	12221.765	876.9624	876.9413	-888.1222	1916.8094	80.0	0.0	99087.55452537537
20	270	153600	0.5611546	0.05749265	1618.3206	-90.4	11983.499	873.5424	873.5147	-883.71655	1719.8512	80.0	-152.0	100144.06156158447
20	271	155200	0.5567951	0.10749382	1347.8103	-115.95	11949.429	865.0136	864.9959	-876.9236	2327.8013	80.0	0.0	101208.68211746216
20	272	156800	0.56813306	0.13112035	1387.1132	-122.75	11961.599	869.7833	869.7593	-879.7525	1422.788	80.0	-134.0	102257.88663363457
20	273	158400	0.46345425	0.1105503	1404.8003	-135.4	12377.75	872.1918	872.1616	-884.117	1881.9425	80.0	-7.0	103338.2411673069
20	274	160000	0.49411476	0.08202856	1512.3378	-70.65	13137.255	871.1727	871.1281	-884.1241	2093.5159	80.0	0.0	104405.38861346245
20	275	161600	0.44265953	0.08881797	1435.5583	-113.0	13929.753	861.5836	861.5299	-872.4464	2025.9911	80.0	0.0	105461.95276808739
20	276	163200	0.5117427	0.10085017	1666.6389	-62.85	13733.685	862.4719	862.3932	-873.8214	2009.0988	80.0	0.0	106498.74618315697
20	277	164800	0.41619995	0.1223796	1379.2708	-116.3	14890.896	863.211	863.1391	-874.98065	1597.9401	80.0	-233.0	107567.08145809174
20	278	166400	0.50716704	0.09725646	1462.9314	-125.7	14454.003	872.9908	872.9454	-886.3064	1796.5679	80.0	-222.0	108617.8078763485
20	279	168000	0.4993023	0.06812393	1421.8167	-140.55	15409.71	878.5728	878.6218	-891.52576	1284.2906	80.0	0.0	109692.27490782738
20	280	169600	0.5471684	0.07344461	1469.7494	-114.05	14815.316	888.8175	888.8241	-902.12616	285.05536	80.0	-259.0	110743.43732476234
20	281	171200	0.44098803	0.02093207	1436.0565	-125.8	15088.738	884.0995	884.1081	-897.062	1988.2279	80.0	-188.0	111801.05418729782
20	282	172800	0.4899135	0.09760799	1171.3777	-154.6	14759.344	865.9622	865.9591	-880.3716	1402.8359	80.0	-188.0	112906.72919988632
20	283	174400	0.4895075	0.08040758	1599.1486	-90.0	14179.585	863.1099	863.1415	-878.9126	1829.483	80.0	0.0	113939.51731348038
20	284	176000	0.5069105	0.09039569	1506.894	-101.1	14123.0	880.9213	880.9229	-893.6383	2136.4631	80.0	0.0	114973.85300183296
20	285	177600	0.54023665	0.027337093	1583.3998	-131.85	14057.145	888.7017	888.6609	-903.0025	1288.8384	80.0	-271.0	116040.55912995338
20	286	179200	0.566952	0.082068786	1304.4885	-151.85	15213.843	890.2471	890.2452	-902.34174	1783.3898	80.0	-224.0	117088.72698020935
20	287	180800	0.49182716	0.0319473	1290.7329	-121.45	15844.606	870.6694	870.6518	-882.9782	1654.3097	80.0	-141.0	118155.487885952
20	288	182400	0.52094895	-0.001952486	1442.5428	-120.0	16029.856	858.934	858.904	-871.2606	2137.6707	80.0	0.0	119220.48382329941
20	289	184000	0.3580364	-0.08042376	1236.2732	-133.85	16158.315	842.2279	842.2247	-852.6036	1652.2223	80.0	-60.0	120278.74649429321
20	290	185600	0.30499333	-0.092581235	1192.1741	-147.0	16985.332	821.98047	821.9898	-833.02655	906.58093	80.0	-156.0	121330.93195986748
20	291	187200	0.4692748	-0.015828907	1380.8412	-142.55	16067.175	798.9708	798.99915	-811.1331	1794.0635	80.0	-93.0	122367.53138232231
20	292	188800	0.49079254	-0.037766214	1092.834	-131.45	16729.154	781.53296	781.4956	-792.891	666.3261	80.0	-254.0	123413.71437048912
20	293	190400	0.5042487	0.00093679666	1302.0537	-152.8	16828.717	764.84216	764.82245	-779.6178	2051.1426	80.0	0.0	124469.64220023155
20	294	192000	0.47736472	0.028650591	1717.0062	-66.65	15321.463	775.5696	775.5546	-789.41815	1519.3048	80.0	-155.0	125503.86305642128
20	295	193600	0.46640313	0.013779857	1719.3088	-55.85	14282.247	787.2333	787.2471	-802.1696	1926.0992	80.0	0.0	126546.7002325058
20	296	195200	0.5385001	-0.013152033	1496.2112	-87.25	13649.192	787.4783	787.4639	-800.6976	2213.577	80.0	0.0	127615.9512693882
20	297	196800	0.49058378	0.0016426236	1347.5471	-127.9	13518.697	780.57227	780.5247	-795.65344	1740.7965	80.0	-92.0	128653.68645238876
20	298	198400	0.5861622	-0.01728075	1428.8207	-119.4	13388.61	781.3358	781.3304	-793.156	591.06525	80.0	-199.0	129693.27517604828
20	299	200000	0.4565184	-0.020902086	1394.2527	-117.0	13147.865	783.02924	783.00854	-795.4606	908.73627	80.0	-221.0	130731.3745598793
20	300	201600	0.50652426	0.01743995	1606.2576	-73.75	11965.185	788.32916	788.3378	-799.22064	1216.0956	80.0	-215.0	131786.89175629616
20	301	203200	0.52394646	-0.07906774	1607.6501	-72.45	12460.785	795.8502	795.88306	-806.66547	1325.5398	80.0	-232.0	132851.74590730667
20	302	204800	0.57246816	0.009080169	1596.967	-105.55	12010.727	815.3876	815.3261	-826.12085	2344.2114	80.0	0.0	133934.24473524094
20	303	206400	0.58640885	0.018589277	1373.6625	-124.65	11495.52	817.094	817.1257	-828.07263	480.82486	80.0	-224.0	134966.29526615143
20	304	208000	0.6031263	-0.006299214	1613.875	-88.5	10696.972	830.55646	830.5212	-842.7199	1551.5538	80.0	-235.0	136045.9210574627
20	305	209600	0.50595	0.011402512	1266.281	-105.15	10745.79	835.2488	835.2333	-845.6962	1776.939	80.0	-230.0	137086.59860372543
20	306	211200	0.47153318	0.0044626473	1427.7715	-99.6	12534.479	817.18805	817.23596	-832.42834	509.13245	80.0	-194.0	138142.73203206062
