CostLimit	Epoch	TotalEnvInteracts	worker/VVals	worker/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/StopIter	learner/LossPi	learner/KL	learner/Entropy	learner/ClipFrac	learner/DeltaLossPi	learner/LossV	learner/DeltaLossV	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
5	455	35000	1212.922	0.0	1318.552	79.0	-58.666668	1.0	-2.3780824e-05	0.0229325	-0.40149578	0.23700002	0.011670531	98216.37	-28467.102	1879.5957	80.0	0.0	22781.181511878967
5	456	36000	1293.3364	0.0	1052.7823	79.0	-115.916664	7.0	2.8900147e-05	0.021052457	-0.4016059	0.26000002	-0.0033223268	73870.195	-20922.375	1090.7323	80.0	-128.0	23423.483649015427
5	457	37000	1274.22	0.0	993.12744	79.0	-123.0	1.0	1.0448456e-05	0.023312539	-0.40175906	0.24800001	0.016970873	119298.44	-25992.71	769.6105	80.0	-242.0	24050.284945487976
5	458	38000	1238.4773	0.0	1211.9968	79.0	-86.583336	1.0	7.106781e-06	0.030162927	-0.40174294	0.263	0.012510598	101095.555	-14724.156	272.66797	80.0	-221.0	24693.26247906685
5	459	39000	1318.469	0.0	1326.1708	79.0	-96.0	1.0	-2.251053e-05	0.03479478	-0.40180615	0.27	0.016590573	74837.4	-16308.797	1886.0355	80.0	0.0	25341.983294725418
5	460	40000	1367.212	0.0	1196.0219	79.0	-121.333336	1.0	6.667328e-05	0.021355923	-0.40185037	0.25100002	0.007722435	120000.695	-15554.547	1864.474	80.0	0.0	26036.760489225388
5	461	41000	1366.3826	0.0	1179.4894	79.0	-81.0	3.0	3.9613726e-05	0.029445834	-0.4018845	0.282	0.015583964	159458.92	-19341.25	1734.3138	80.0	0.0	26691.365464687347
5	462	42000	1359.4299	0.0	1267.7081	79.0	-114.5	1.0	-8.023072e-05	0.034090918	-0.4020545	0.30800003	-0.0017992478	91964.945	-14172.203	1364.6249	80.0	-162.0	27334.780918836594
5	463	43000	1269.0696	0.0	1090.8989	79.0	-80.166664	3.0	-2.4070741e-05	0.019918928	-0.40209642	0.23	0.0015491028	178060.48	-39567.0	570.05634	80.0	-224.0	27962.835624217987
5	464	44000	1321.794	0.0	1068.3165	79.0	-92.166664	16.0	2.4436951e-05	0.016065974	-0.40237135	0.171	-0.018627075	132091.64	-39794.805	1910.2749	80.0	0.0	28627.898377418518
5	465	45000	1311.3772	0.0	1145.7516	79.0	-124.166664	6.0	-3.2669068e-05	0.019917512	-0.40416563	0.16000001	-0.010199616	136262.75	-35783.83	1054.5936	80.0	-179.0	29261.975050210953
5	466	46000	1205.2845	0.0	1345.2795	79.0	-69.833336	79.0	-4.1170122e-05	0.005621687	-0.40485296	0.22200002	-0.020060048	103313.28	-24044.25	1795.1268	80.0	0.0	29911.599232673645
5	467	47000	1286.4003	0.0	1212.7919	79.0	-99.5	3.0	3.1194688e-06	0.024637217	-0.419664	0.19600001	0.0017243405	105216.37	-18460.734	1198.9131	80.0	-202.0	30566.86374282837
5	468	48000	1334.7307	0.0	1214.4972	79.0	-91.333336	6.0	6.0985567e-05	0.018737558	-0.41999695	0.18100001	-0.0035077059	98577.414	-17303.508	1949.8525	80.0	0.0	31223.111652851105
5	469	49000	1297.7896	0.0	1288.5873	79.0	-72.583336	79.0	-4.525757e-05	0.008291741	-0.42037177	0.261	-0.027702212	122521.39	-30506.781	1187.1195	80.0	-232.0	31846.74592232704
5	470	50000	1402.9224	0.0	1274.5807	79.0	-91.25	79.0	2.3292543e-05	0.0034958036	-0.42685357	0.16100001	-0.032117344	96886.78	-8961.641	1492.6136	80.0	-51.0	32494.47812962532
5	471	51000	1424.1735	0.0	1102.1879	79.0	-115.416664	21.0	3.310013e-05	0.015404186	-0.44626588	0.126	-0.015543631	144605.44	-42789.4	1926.538	80.0	0.0	33151.406286239624
5	472	52000	1455.3933	0.0	1342.4425	79.0	-70.083336	2.0	2.2254944e-05	0.022116063	-0.44714078	0.18200001	-0.0063506016	111248.02	-22007.344	1848.2687	80.0	0.0	33805.94228434563
5	473	53000	1528.1594	0.0	1121.4478	79.0	-119.333336	2.0	2.7118684e-05	0.022592852	-0.44705036	0.202	0.0013708096	133928.66	-33300.664	1862.1346	80.0	0.0	34462.92142248154
5	474	54000	1411.2103	0.0	1262.938	79.0	-88.833336	15.0	1.4991761e-05	0.015351251	-0.44691432	0.128	-0.017485673	113841.305	-20148.227	1279.1304	80.0	-195.0	35086.58440923691
5	475	55000	1484.8893	0.0	1313.0685	79.0	-108.666664	2.0	-1.872349e-05	0.01507717	-0.44654623	0.20300001	-0.0062147067	92022.55	-11426.906	1251.6577	80.0	-147.0	35745.588809251785
5	476	56000	1506.5902	0.0	1170.0966	79.0	-78.166664	2.0	4.046631e-05	0.026273584	-0.44662347	0.185	-0.0009296551	147744.88	-43583.35	777.7567	80.0	-251.0	36390.18811035156
5	477	57000	1308.279	0.0	1176.0925	79.0	-119.5	2.0	-1.7959595e-05	0.021724055	-0.44657174	0.17500001	-0.0027938958	118514.36	-27487.36	520.4617	80.0	-180.0	37025.40762090683
5	478	58000	1296.376	0.0	1214.9038	79.0	-98.416664	3.0	2.687931e-06	0.02423888	-0.44654718	0.172	0.006932382	156379.89	-19361.938	552.5829	80.0	-166.0	37662.949098587036
5	479	59000	1396.3954	0.0	1424.0646	79.0	-56.333332	6.0	3.1597137e-05	0.017635992	-0.44645968	0.165	-0.0052739372	110835.516	-31089.945	1962.1309	80.0	0.0	38319.85351204872
5	480	60000	1460.992	0.0	1138.1581	79.0	-107.25	76.0	-1.40514385e-05	0.01728135	-0.4463112	0.19700001	-0.030012313	206519.34	-79075.66	1954.6581	80.0	0.0	38962.34173846245
5	481	61000	1481.269	0.0	1411.5543	79.0	-40.666668	5.0	7.9154976e-05	0.016976131	-0.46826532	0.25500003	-0.010189846	196348.31	-22638.938	1650.4225	80.0	-47.0	39594.71483826637
5	482	62000	1319.1855	0.0	1120.2172	79.0	-86.5	1.0	2.7847292e-07	0.020342495	-0.46917573	0.259	0.009065358	160421.06	-44964.625	169.54848	80.0	-212.0	40235.396998882294
5	483	63000	1304.746	0.0	1274.9061	79.0	-86.583336	1.0	1.1444092e-06	0.048895236	-0.4692997	0.37600002	0.023029359	223460.97	-77611.56	1156.4995	80.0	-241.0	40880.8486392498
5	484	64000	1092.4115	0.0	1165.2836	79.0	-100.25	1.0	5.31292e-05	0.037413586	-0.4694411	0.32200003	0.026434543	152748.06	-22449.305	1122.6396	80.0	-268.0	41528.72046637535
5	485	65000	1103.8171	0.0	1392.5571	79.0	-43.833332	2.0	1.0800362e-05	0.051145498	-0.46957836	0.39100003	0.023588285	153979.08	-18257.047	1676.5247	80.0	-174.0	42189.005620241165
5	486	66000	1160.7426	0.0	1229.722	79.0	-120.916664	1.0	3.240681e-05	0.028118383	-0.4699196	0.39100003	0.02541481	118061.414	-22710.836	658.8953	80.0	-113.0	42856.34681749344
5	487	67000	1262.713	0.0	1463.642	79.0	-61.083332	1.0	-2.7183534e-05	0.067288175	-0.47011092	0.47500002	0.028388917	143321.95	-29701.922	1659.1406	80.0	0.0	43497.68882703781
5	488	68000	1411.9797	0.0	1375.62	79.0	-50.0	1.0	-1.0271073e-05	0.03546939	-0.47029045	0.393	0.022732316	140492.0	-51606.22	429.459	80.0	-211.0	44149.45726656914
5	489	69000	1381.465	0.0	1338.2687	79.0	-96.416664	1.0	5.5084233e-06	0.054637343	-0.4704272	0.45600003	0.029957693	75732.58	-17958.094	1251.947	80.0	-186.0	44813.11547899246
5	490	70000	1445.5544	0.0	1209.2534	79.0	-112.083336	1.0	3.9847375e-05	0.10389086	-0.47053	0.508	0.030922739	79744.68	-10020.664	1718.2762	80.0	0.0	45474.37621426582
5	491	71000	1426.5176	0.0	1066.245	79.0	-106.416664	1.0	-4.5318607e-06	0.08914994	-0.47059295	0.48100004	0.0459455	117751.086	-26932.227	1479.5635	80.0	-6.0	46122.16960167885
5	492	72000	1310.8593	0.0	1145.5947	79.0	-86.583336	1.0	4.714966e-06	0.055484492	-0.4706309	0.40500003	0.026793992	121355.375	-27491.29	224.5193	80.0	-201.0	46776.30944466591
5	493	73000	1343.2386	0.0	1375.7054	79.0	-37.833332	1.0	-0.000120822915	0.02690985	-0.4707274	0.23200001	0.013962388	108130.68	-15780.227	1170.507	80.0	-52.0	47434.587431907654
5	494	74000	1285.1884	0.0	994.2552	79.0	-128.58333	1.0	4.0996554e-05	0.049989548	-0.47079882	0.34500003	0.007393536	140061.2	-31290.46	1682.5997	80.0	0.0	48066.68827915192
5	495	75000	1355.171	0.0	1157.943	79.0	-81.333336	1.0	-7.324219e-06	0.07148715	-0.47087005	0.43800002	0.013758042	111604.47	-36962.61	1523.7423	80.0	-30.0	48712.431612968445
5	496	76000	1346.7491	0.0	1201.4004	79.0	-48.083332	1.0	-6.440163e-06	0.058248553	-0.47095397	0.497	0.029956268	66865.15	-14309.051	1707.4695	80.0	0.0	49355.459357500076
5	497	77000	1331.7225	0.0	1130.7202	79.0	-56.166668	1.0	3.9701463e-05	0.08837943	-0.47100356	0.446	0.040287897	123327.17	-23010.898	1570.9691	80.0	-2.0	50020.70090007782
5	498	78000	1266.9127	0.0	1108.018	79.0	-52.166668	1.0	5.8544163e-05	0.03882065	-0.47105137	0.36100003	0.027532995	115372.92	-19125.594	981.6653	80.0	-212.0	50674.43393111229
5	499	79000	1208.443	0.0	1131.0599	79.0	-80.083336	1.0	-1.0967256e-05	0.070787944	-0.47106317	0.39800003	0.02845819	120841.74	-22305.133	1133.9764	80.0	-72.0	51338.66888189316
5	500	80000	1160.2946	0.0	1083.0647	79.0	-81.75	1.0	-1.1932374e-05	0.03506979	-0.47108412	0.33100003	0.022954911	101250.555	-12984.406	1596.7072	80.0	0.0	51993.71608877182
5	501	81000	1224.3588	0.0	1159.3304	79.0	-54.416668	3.0	-2.4331093e-05	0.057998363	-0.4711403	0.42900002	0.010331361	84895.57	-21721.758	1370.0247	80.0	-189.0	52655.106021404266
5	502	82000	1345.689	0.0	1324.0479	79.0	-31.833334	1.0	-8.979798e-06	0.015124607	-0.47156703	0.321	0.01167076	53638.016	-17153.07	1425.0408	80.0	0.0	53312.64547586441
5	503	83000	1415.994	0.0	1154.0752	79.0	-69.333336	2.0	5.7929996e-05	0.021182725	-0.47171366	0.108	-0.003875351	100094.4	-10146.922	1639.3307	80.0	0.0	53960.596774578094
5	504	84000	1360.8623	0.0	1149.3468	79.0	-65.916664	8.0	-4.6932222e-05	0.015341173	-0.47182116	0.264	-0.0070129093	68694.34	-12501.473	1542.0228	80.0	0.0	54655.588671684265
5	505	85000	1434.9695	0.0	1156.038	79.0	-86.75	25.0	-2.7923585e-05	0.015073525	-0.47169527	0.13800001	-0.016007593	62939.98	-8792.586	1188.5819	80.0	-69.0	55309.36748099327
5	506	86000	1364.7683	0.0	910.8674	79.0	-103.25	1.0	-2.3260118e-05	0.015645392	-0.4740951	0.132	-0.0030088713	116601.85	-47342.21	1659.5078	80.0	0.0	55954.40857887268
5	507	87000	1310.661	0.0	1116.1167	79.0	-76.083336	1.0	-1.4282227e-05	0.015388133	-0.47425413	0.135	-0.00271492	73770.68	-22876.348	1679.0292	80.0	0.0	56612.662852048874
5	508	88000	1327.8542	0.0	1153.1888	79.0	-62.333332	1.0	4.1961673e-07	0.10103763	-0.47440878	0.147	0.07128403	632188.3	-194591.1	1510.3882	80.0	0.0	57260.93179702759
5	509	89000	1509.6732	0.0	1253.7261	79.0	-51.0	3.0	1.0520936e-05	0.03711569	-0.47456148	0.193	0.015032562	100520.92	-47256.746	1585.3763	80.0	0.0	57930.54485583305
5	510	90000	1551.0386	0.0	1256.2637	79.0	-36.083332	1.0	-1.399994e-06	0.04221141	-0.47489238	0.296	0.0066371136	104937.86	-17438.422	1384.8961	80.0	-44.0	58588.751641988754
5	511	91000	1318.2045	0.0	893.4487	79.0	-86.166664	1.0	-1.7410279e-05	0.044948634	-0.4749309	0.11800001	0.021811616	197973.6	-66937.91	1000.54846	80.0	-156.0	59226.72565364838
5	512	92000	1275.9476	0.0	1273.2926	79.0	-42.5	2.0	3.0166628e-05	0.023835301	-0.47498488	0.215	0.007078396	80539.414	-17567.277	966.85895	80.0	-93.0	59880.8453605175
5	513	93000	1308.9865	0.0	1120.9166	79.0	-62.083332	41.0	2.6262285e-05	0.015465573	-0.47498384	0.165	-0.025490409	123826.56	-15418.859	1628.3933	80.0	0.0	60525.35053348541
5	514	94000	1328.0576	0.0	1148.0092	79.0	-55.166668	2.0	8.429528e-06	0.015447348	-0.4886193	0.185	-0.0031604865	56515.266	-9472.117	1600.645	80.0	0.0	61171.01822900772
5	515	95000	1414.1467	0.0	1310.0597	79.0	-41.666668	1.0	-3.2363892e-05	0.036891337	-0.48914945	0.31300002	-0.0014183503	61938.527	-9560.523	1569.987	80.0	0.0	61815.025733947754
5	516	96000	1318.3097	0.0	984.8732	79.0	-89.333336	2.0	-3.944397e-05	0.017364342	-0.48932806	0.163	-0.0041676336	154888.66	-36794.68	1626.0264	80.0	0.0	62450.18979072571
5	517	97000	1303.2413	0.0	1136.6469	79.0	-54.166668	2.0	1.9798279e-05	0.017151894	-0.48963186	0.14	-0.0028501665	83487.54	-17855.617	1593.4042	80.0	0.0	63104.987228393555
5	518	98000	1334.0575	0.0	1176.1467	79.0	-53.25	17.0	-1.1146546e-05	0.017339168	-0.4899874	0.19700001	-0.0144452285	141024.27	-20912.46	1353.2795	80.0	-77.0	63736.63151407242
5	519	99000	1157.5741	0.0	1089.935	79.0	-50.333332	7.0	-2.8686525e-05	0.017725702	-0.49122772	0.179	-0.00853054	184181.61	-34639.125	1563.9321	80.0	0.0	64397.336183309555
5	520	100000	1143.7118	0.0	1101.6052	79.0	-69.666664	5.0	2.0599366e-07	0.020089112	-0.49098006	0.192	-0.0074093402	92166.98	-18386.64	1590.3341	80.0	0.0	65071.92830181122
5	521	101000	1033.1912	0.0	743.96136	79.0	-139.66667	5.0	2.282715e-05	0.018889211	-0.49063438	0.11400001	-0.0077372096	162713.86	-37191.727	1628.5265	80.0	0.0	65741.71622371674
5	522	102000	1156.9077	0.0	1210.4125	79.0	-45.166668	5.0	-2.6318074e-05	0.019442575	-0.49078885	0.23400001	-0.0061737495	134824.25	-29732.79	819.5219	80.0	-231.0	66370.65772104263
5	523	103000	1282.2589	0.0	1336.5712	79.0	-13.333333	79.0	-9.765625e-05	0.0049917805	-0.4907728	0.147	-0.031949207	73354.18	-18333.074	1531.5403	80.0	0.0	67028.97032523155
5	524	104000	1392.6014	0.0	1228.1469	79.0	-33.75	14.0	4.249573e-06	0.015626417	-0.4994093	0.07300001	-0.014417886	52769.44	-6157.535	1594.4581	80.0	0.0	67692.99581122398
5	525	105000	1405.3243	0.0	1241.9327	79.0	-44.416668	2.0	-1.4677048e-06	0.015971199	-0.4999809	0.19100001	-0.0024138994	64013.508	-10550.82	1475.6796	80.0	0.0	68328.2265791893
5	526	106000	1439.0367	0.0	1112.4883	79.0	-70.75	13.0	-1.0574341e-05	0.019934934	-0.49982712	0.296	-0.018201074	130248.4	-22496.797	631.15704	80.0	-139.0	68999.03840398788
5	527	107000	1410.306	0.0	1322.2795	79.0	-31.25	11.0	1.6505242e-05	0.015695281	-0.49815992	0.113000005	-0.010771851	89206.15	-11861.711	1616.0013	80.0	0.0	69636.3161907196
5	528	108000	1497.1171	0.0	1321.8427	79.0	-36.75	4.0	3.354645e-05	0.015318722	-0.49674204	0.13000001	-0.0032314342	88520.58	-10896.703	1154.372	80.0	-48.0	70314.2988102436
5	529	109000	1428.5728	0.0	1182.2367	79.0	-44.583332	6.0	-7.011414e-06	0.017796729	-0.4963693	0.17	-0.008229752	94387.336	-14261.25	1639.9171	80.0	0.0	70968.0718114376
5	530	110000	1445.1562	0.0	1116.479	79.0	-69.583336	4.0	2.0881655e-05	0.015521887	-0.49550882	0.148	0.0009544373	99303.82	-20591.125	1622.1691	80.0	0.0	71598.5023496151
5	531	111000	1440.7765	0.0	1175.9589	79.0	-51.916668	3.0	-3.0059817e-05	0.017078098	-0.49476442	0.148	-0.005103436	81876.54	-11170.43	1521.9583	80.0	0.0	72272.67317056656
5	532	112000	1439.4788	0.0	1114.4517	79.0	-65.583336	79.0	1.1894226e-05	0.009557395	-0.49432352	0.126	-0.030003786	108052.23	-25157.492	1621.3048	80.0	0.0	72923.5420165062
5	533	113000	1408.558	0.0	1280.5771	79.0	-30.833334	16.0	-2.319336e-06	0.016315894	-0.4868744	0.17500001	-0.020387052	53152.15	-12014.508	1527.0807	80.0	0.0	73565.86438250542
5	534	114000	1429.798	0.0	1184.4384	79.0	-63.083332	7.0	-5.450821e-05	0.015004354	-0.4894971	0.224	-0.0071711815	67504.375	-15349.363	1488.5669	80.0	-28.0	74237.90027666092
5	535	115000	1534.3027	0.0	1350.3065	79.0	-16.75	1.0	-8.25615e-05	0.023867885	-0.4907346	0.36	0.0028386002	48360.035	-7601.1367	1497.3854	80.0	0.0	74876.06331682205
5	536	116000	1421.5471	0.0	853.7259	79.0	-113.583336	4.0	1.556778e-05	0.01753582	-0.4908611	0.20300001	0.003598238	154628.64	-53073.29	1227.6613	80.0	-48.0	75522.24630498886
5	537	117000	1482.3103	0.0	1280.4867	79.0	-39.666668	4.0	-2.830887e-05	0.01585693	-0.49137318	0.061000004	-0.009463635	69722.1	-30984.883	1043.1355	80.0	-102.0	76182.60623288155
5	538	118000	1426.718	0.0	1040.8698	79.0	-61.666668	1.0	2.7397156e-05	0.01657467	-0.49176428	0.134	-0.0020294038	247092.66	-73638.8	1565.4087	80.0	0.0	76840.88490915298
5	539	119000	1437.651	0.0	1343.4548	79.0	-26.833334	6.0	1.0185242e-06	0.022460395	-0.4917989	0.286	-0.00037363148	137995.58	-39152.008	1462.0427	80.0	-20.0	77464.7044699192
5	540	120000	1472.0851	0.0	1277.3412	79.0	-49.5	8.0	1.5678406e-05	0.024392033	-0.49244893	0.259	-0.008488148	162341.36	-21981.188	1016.83466	80.0	-218.0	78107.20553660393
5	541	121000	1386.5931	0.0	1164.4967	79.0	-52.5	3.0	1.2020112e-05	0.021838648	-0.4921849	0.215	-0.007275288	116966.484	-15792.43	1463.8729	80.0	-5.0	78761.25703573227
5	542	122000	1397.3943	0.0	1253.3253	79.0	-71.083336	2.0	-2.1118165e-05	0.029421957	-0.4919394	0.323	0.00084726716	82662.484	-35872.684	33.59586	80.0	-234.0	79400.50726532936
5	543	123000	1459.8674	0.0	1085.0806	79.0	-74.416664	3.0	1.7883302e-05	0.017983757	-0.49180606	0.10300001	-0.0037479172	129344.5	-31050.992	910.32526	80.0	-109.0	80068.52317333221
5	544	124000	1298.683	0.0	1002.1069	79.0	-79.0	2.0	5.966187e-06	0.016245758	-0.49175552	0.10300001	-0.00066447834	138825.27	-28548.586	59.08262	80.0	-256.0	80727.27348899841
5	545	125000	1266.8778	0.0	1184.6505	79.0	-47.5	4.0	-1.6662598e-05	0.015192148	-0.49169472	0.17400001	-0.0046900674	102198.73	-17559.672	1111.2169	80.0	-82.0	81367.16078925133
5	546	126000	1226.9087	0.0	1328.4989	79.0	-28.083334	36.0	2.2293092e-05	0.015231732	-0.49218866	0.261	-0.027953044	68602.83	-12485.691	1074.2477	80.0	-231.0	82007.71410655975
