CostLimit	Epoch	TotalEnvInteracts	worker/Act1	worker/Act2	worker/EpRet	worker/EpCost	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossPi	learner/LogPi	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
20	276	19200	0.3819143	-0.09919684	1115.8142	-84.0	2813.1338	1514.5364	1514.5345	-1520.5472	15.59774	1495.8197	80.0	0.0	12379.887916088104
20	277	20800	0.4374665	-0.0076500154	1162.0513	-78.55	2453.3792	1511.9316	1511.8993	-1514.924	14.716669	1419.3845	80.0	0.0	13384.00252699852
20	278	22400	0.4076146	-0.03873202	1142.9738	-49.45	2247.934	1508.1154	1508.0999	-1510.4604	14.602466	1281.0516	80.0	0.0	14393.585770606995
20	279	24000	0.37242264	-0.0054274583	1265.7498	-24.5	2098.6687	1512.0345	1512.0414	-1514.3969	13.695461	1430.889	80.0	0.0	15412.30726313591
20	280	25600	0.43145877	-0.021534968	1175.3933	-41.45	2518.0898	1513.9583	1513.9587	-1515.8551	13.506168	1534.2712	80.0	0.0	16424.54158616066
20	281	27200	0.3162018	-0.012626059	1200.91	-54.55	2341.06	1521.8112	1521.8136	-1523.3258	14.004156	1510.5452	80.0	0.0	17436.82891011238
20	282	28800	0.42060876	0.057926945	1191.9377	-69.1	2484.3027	1527.2174	1527.2191	-1529.3916	14.185865	1213.2996	80.0	-187.0	18417.322221517563
20	283	30400	0.25678533	-0.07128133	886.68835	-71.1	2195.0928	1539.3271	1539.3206	-1541.9025	13.811262	1206.2915	80.0	-58.0	19429.568175792694
20	284	32000	0.36893445	-0.050590035	1195.3429	-73.65	2523.5867	1547.967	1547.9608	-1549.7543	13.574839	949.05505	80.0	-81.0	20463.69290781021
20	285	33600	0.39478767	-0.029202975	1192.4802	-54.3	2681.3818	1556.0487	1556.028	-1558.0547	13.293701	1460.7743	80.0	0.0	21506.042187690735
20	286	35200	0.33127183	-0.05233034	1237.4482	-56.9	2719.5706	1566.632	1566.6228	-1568.8767	12.673749	940.343	80.0	-132.0	22524.017786026
20	287	36800	0.38004553	-0.052385703	1059.3928	-71.95	2781.2236	1580.864	1580.8525	-1583.8472	12.344612	1615.3942	80.0	0.0	23527.579043626785
20	288	38400	0.42314628	-0.0618318	1113.2699	-88.55	2604.7166	1600.1088	1600.092	-1603.725	12.076365	1491.6305	80.0	0.0	24550.354549646378
20	289	40000	0.42940414	-0.039076477	1330.3687	-20.75	2472.6472	1623.101	1623.0846	-1626.6779	12.242768	1695.599	80.0	0.0	25576.920592069626
20	290	41600	0.39766824	-0.055363916	1161.7496	-57.45	2479.2737	1633.5142	1633.4998	-1634.9938	12.552663	1545.185	80.0	0.0	26574.364108085632
20	291	43200	0.44723344	-0.02288981	1399.369	-37.1	2699.8862	1640.3462	1640.3601	-1642.1262	12.454546	1676.8344	80.0	0.0	27587.411255836487
20	292	44800	0.3338687	0.014593444	1288.6829	-64.8	3152.6313	1637.6014	1637.5908	-1638.749	12.028932	1577.7289	80.0	0.0	28588.358309984207
20	293	46400	0.4240135	-0.060219675	1245.5056	-60.3	3652.3896	1634.1681	1634.1685	-1636.1798	11.609073	1181.2667	80.0	-257.0	29598.951014518738
20	294	48000	0.4963996	-0.05324178	1386.1327	-87.25	3971.0178	1655.9604	1655.9598	-1658.5028	12.147225	286.7132	80.0	-215.0	30635.524623394012
20	295	49600	0.42205173	0.050871935	1443.1138	-45.5	4052.51	1658.17	1658.1659	-1659.1305	12.341047	1363.2815	80.0	-37.0	31635.70888519287
20	296	51200	0.4642826	-0.0009790969	1301.3835	-65.9	4168.9097	1659.4653	1659.4626	-1661.0624	12.149572	1484.4465	80.0	0.0	32639.404765844345
20	297	52800	0.44543296	-0.021500742	1359.7666	-59.45	3936.9307	1669.3905	1669.3936	-1670.9318	12.252563	1443.003	80.0	-160.0	33656.400426864624
20	298	54400	0.48515677	0.026429119	1475.7113	-66.55	4371.253	1680.284	1680.2748	-1684.2625	13.218861	-311.88083	80.0	-253.0	34663.6660759449
20	299	56000	0.7174401	-0.2104926	-274.4308	-163.7	6020.4326	1667.8293	1667.8514	-1668.7428	13.458044	1799.789	80.0	0.0	35666.58358383179
20	300	57600	0.5060724	0.027973138	1474.9261	-78.1	6101.07	1674.6471	1674.6499	-1676.5916	12.590929	829.2527	80.0	-212.0	36674.19369220734
20	301	59200	0.48573387	-0.009150403	1647.3601	-41.65	6434.2417	1683.238	1683.2303	-1685.971	13.453744	-20.455248	80.0	-248.0	37691.09284543991
20	302	60800	0.49445403	-0.070540465	1613.5609	-73.0	7307.9536	1695.6854	1695.6685	-1699.0465	13.135194	1499.3698	80.0	-260.0	38714.897980451584
20	303	62400	0.438891	-0.08186369	1413.3871	-72.2	7357.049	1713.6064	1713.6082	-1716.8181	13.952625	1480.0957	80.0	-206.0	39775.577416181564
20	304	64000	0.49473608	0.008546592	1349.8462	-69.55	7838.9717	1718.6276	1718.6191	-1720.9581	14.131056	1009.8792	80.0	-114.0	40770.5011613369
20	305	65600	0.5270926	0.0058038803	1527.1327	-108.7	8432.394	1722.8486	1722.8442	-1724.9873	14.061137	1896.5044	80.0	-33.0	41778.99227976799
20	306	67200	0.5356306	0.023298178	1335.5302	-90.8	8810.718	1716.5262	1716.5382	-1718.6929	13.684567	1913.3076	80.0	0.0	42784.304857730865
20	307	68800	0.44930488	0.029660635	1609.8184	-56.45	8086.436	1725.0804	1725.0767	-1727.4694	13.328547	686.59216	80.0	-151.0	43780.23274350166
20	308	70400	0.46433234	-0.015967118	1360.0867	-96.4	7696.944	1735.828	1735.8138	-1738.6265	13.710524	1186.5535	80.0	-100.0	44825.570385694504
20	309	72000	0.46078506	-0.014600885	1414.7339	-80.5	8036.405	1739.5314	1739.517	-1742.3181	12.971347	2095.474	80.0	0.0	45822.29666686058
20	310	73600	0.4776373	-0.057164665	1349.4026	-131.0	7577.3086	1739.7134	1739.701	-1741.6422	12.272855	1538.7029	80.0	-246.0	46820.96653223038
20	311	75200	0.4463816	-0.008997137	1265.4343	-81.25	8345.81	1746.2397	1746.226	-1746.6077	12.031581	1844.5308	80.0	0.0	47825.616908073425
20	312	76800	0.40176347	-0.035997447	1104.99	-118.8	8378.49	1749.0645	1749.0712	-1748.3347	11.933599	1738.3529	80.0	0.0	48855.01311826706
20	313	78400	0.47225708	-0.009229397	1554.4874	-60.9	8592.659	1741.2018	1741.1624	-1741.7047	12.585276	1732.96	80.0	-230.0	49862.47035384178
20	314	80000	0.42492285	0.14694136	1213.2302	-117.6	10427.18	1712.9988	1713.001	-1713.261	13.337305	903.52905	80.0	-131.0	50840.13918042183
20	315	81600	0.4150714	0.038043708	1528.6774	-65.55	10557.242	1698.7578	1698.7206	-1699.7628	14.127149	1966.1938	80.0	0.0	51858.81940793991
20	316	83200	0.5315537	0.0007335043	1429.6565	-112.75	10398.846	1700.5286	1700.5248	-1701.3538	14.877017	1998.0759	80.0	0.0	52900.814648389816
20	317	84800	0.4989891	0.008797919	1602.8489	-74.5	10404.814	1706.796	1706.7928	-1708.8074	14.180018	1099.4768	80.0	-183.0	53929.516572237015
20	318	86400	0.5681849	-0.0010360313	1738.76	-91.95	10977.195	1730.8516	1730.841	-1733.102	13.144598	1649.0476	80.0	-53.0	54941.92353415489
20	319	88000	0.28175834	0.124922656	1351.9552	-78.9	9842.92	1738.0948	1738.1002	-1739.5769	13.11488	1605.557	80.0	-150.0	55938.88304519653
20	320	89600	0.38402215	0.09602144	1417.6613	-107.25	9211.921	1746.5483	1746.5498	-1747.9666	13.451515	1849.462	80.0	0.0	56956.123331069946
20	321	91200	0.49468657	-0.0030614964	1680.4235	-57.55	9075.486	1763.164	1763.1732	-1764.3075	13.7907715	2072.4072	80.0	-18.0	57960.19559884071
20	322	92800	0.45044196	0.08000898	1380.66	-92.3	9053.09	1772.2168	1772.2534	-1772.5713	13.664787	1839.6991	80.0	-184.0	58972.51157093048
20	323	94400	0.43483198	0.13086495	1476.5734	-92.5	8695.329	1787.0878	1787.0717	-1787.5238	13.634844	1503.3317	80.0	-239.0	59975.24481511116
20	324	96000	0.28661275	0.15719853	1414.343	-102.6	9359.733	1797.7819	1797.7814	-1798.2083	13.322575	2023.1702	80.0	0.0	60981.16838669777
20	325	97600	0.3854491	0.046276007	1267.079	-114.8	9779.704	1794.7336	1794.7288	-1794.4559	13.390845	535.5165	80.0	-244.0	62014.17897105217
20	326	99200	0.3974618	0.060501207	1340.9241	-129.8	10799.26	1795.1694	1795.1667	-1795.158	13.021733	1328.4988	80.0	-136.0	63001.94224977493
20	327	100800	0.40752465	0.053993985	1372.7009	-146.05	10426.965	1805.3947	1805.3947	-1805.764	13.371923	1285.8672	80.0	-127.0	64070.105348587036
20	328	102400	0.43826133	-0.03842247	1638.7161	-92.7	10151.875	1817.7354	1817.761	-1818.1324	12.73877	432.55377	80.0	-245.0	65084.530861377716
20	329	104000	0.3508584	0.024518376	1328.088	-125.75	9145.074	1809.5128	1809.5247	-1810.3242	13.317453	2230.193	80.0	0.0	66101.16719698906
20	330	105600	0.49892676	-0.03630329	1500.9247	-96.9	8774.551	1812.2676	1812.2538	-1813.1891	14.268513	1897.266	80.0	0.0	67132.05607700348
20	331	107200	0.45894897	-0.03701421	1571.011	-133.95	9080.646	1811.7396	1811.7432	-1812.3856	14.086623	1098.4246	80.0	-236.0	68147.51391386986
20	332	108800	0.42226836	0.028238418	1498.9594	-83.65	10420.388	1808.8522	1808.8416	-1809.7003	13.908664	2177.9414	80.0	0.0	69148.83786821365
20	333	110400	0.55737394	0.019583099	1482.837	-126.2	10494.477	1799.1638	1799.1766	-1799.6915	14.557145	2188.7087	80.0	0.0	70160.54729628563
20	334	112000	0.4892536	-0.015299089	1585.224	-81.5	10259.913	1802.8652	1802.8738	-1802.9716	14.57124	1717.5219	80.0	0.0	71174.38067531586
20	335	113600	0.555602	-0.011040529	1586.1506	-99.0	10201.633	1798.9116	1798.8972	-1798.7885	14.0012455	1762.8975	80.0	-229.0	72189.52028226852
20	336	115200	0.4335534	-0.011223776	1440.0613	-108.0	10133.577	1787.194	1787.2008	-1787.3923	14.574294	1825.9395	80.0	-220.0	73186.98787164688
20	337	116800	0.51811796	0.11450482	1444.9606	-115.25	9287.49	1793.5038	1793.4594	-1794.222	14.09235	524.93097	80.0	-225.0	74201.16480588913
20	338	118400	0.47288474	-0.015557503	1296.9067	-103.5	9332.937	1796.5032	1796.498	-1796.3314	13.674699	1312.7903	80.0	-91.0	75205.51269197464
20	339	120000	0.5634198	-0.0056613293	1641.8333	-81.65	9566.589	1805.9156	1805.9178	-1805.3108	13.579909	1924.9382	80.0	0.0	76197.05413675308
20	340	121600	0.5367862	0.06302259	1697.0459	-73.5	8999.691	1809.541	1809.52	-1809.361	13.067593	1976.5688	80.0	-5.0	77221.62667274475
20	341	123200	0.59611547	0.10159979	1376.8561	-131.2	9028.231	1799.4283	1799.4124	-1799.2933	12.884417	1826.9463	80.0	-117.0	78251.04948878288
20	342	124800	0.5334775	0.022496639	1684.1074	-61.0	9301.172	1807.6758	1807.6914	-1808.374	13.443017	1360.4639	80.0	-223.0	79278.59478139877
